,id,team,position,cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam
Harry Wilson,212,Fulham,MID,60,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,6.0,0.5,0,0.05,0.00,0.05,0.44,1,False
Marek Rodák,213,Fulham,GK,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ivan Neves Abreu Cavaleiro,214,Fulham,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kenny Tete,215,Fulham,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,11,14.2,7.3,1.0,2.3,1,0.04,0.04,0.08,2.38,1,False
Josh Onomah,216,Fulham,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Antonee Robinson,217,Fulham,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,10,15.2,15.6,0.0,3.1,1,0.00,0.05,0.05,2.38,1,False
Rodrigo Muniz Carvalho,218,Fulham,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jay Stansfield,219,Fulham,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
João Palhinha Gonçalves,220,Fulham,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Liam Cooper,221,Leeds,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Luke Ayling,222,Leeds,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,5,10.8,0.7,23.0,3.5,1,0.19,0.01,0.20,1.63,1,False
Mateusz Klich,223,Leeds,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Adam Forshaw,224,Leeds,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rodrigo Moreno,225,Leeds,MID,60,24,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,4.0,0.5,0,0.00,0.03,0.03,0.41,1,False
Stuart Dallas,226,Leeds,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Patrick Bamford,227,Leeds,FWD,75,65,1,0,0,2,0,0,0,0,0,0,2,30,41.8,14.3,11.0,6.7,1,0.21,0.05,0.26,1.22,8,False
Diego Llorente,228,Leeds,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Tyler Roberts,229,Leeds,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Robin Koch,230,Leeds,DEF,45,90,0,0,0,2,0,0,0,0,0,0,0,15,17.0,0.3,0.0,1.7,1,0.00,0.00,0.00,1.63,1,False
Daniel James,231,Fulham,MID,60,14,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,2.0,0.3,0,0.00,0.00,0.00,0.44,1,False
Raphael Dias Belloli,232,Leeds,MID,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jack Harrison,233,Leeds,MID,60,90,1,1,0,2,1,0,0,0,0,0,3,31,63.0,37.4,24.0,12.4,1,0.86,0.09,0.95,1.63,11,True
Jamie Shackleton,234,Leeds,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Pascal Struijk,235,Leeds,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kristoffer Klaesson,236,Leeds,GK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Sam Greenwood,237,Leeds,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Illan Meslier,238,Leeds,GK,45,90,0,0,0,2,0,0,0,0,0,2,0,13,11.6,0.0,0.0,1.2,1,0.00,0.00,0.00,1.63,1,False
Junior Firpo Adames,239,Leeds,DEF,45,90,0,0,0,2,0,0,0,1,0,0,0,7,15.0,3.3,4.0,2.2,1,0.00,0.02,0.02,1.63,0,False
Crysencio Summerville,240,Leeds,MID,45,65,0,0,0,2,0,0,0,0,0,0,0,10,8.2,22.0,6.0,3.6,1,0.00,0.01,0.01,1.22,2,False
Lewis Bate,241,Leeds,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Joe Gelhardt,242,Leeds,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Leo Fuhr Hjelde,243,Leeds,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Rasmus Kristensen,244,Leeds,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Marc Roca Junqué,245,Leeds,MID,50,65,0,0,0,2,0,0,0,0,0,0,0,11,3.0,2.3,11.0,1.6,1,0.10,0.01,0.11,1.22,2,False
Brenden Aaronson,246,Leeds,MID,55,83,0,0,0,2,0,0,0,0,0,0,0,3,7.0,25.5,26.0,5.9,1,0.16,0.11,0.27,1.55,2,False
Darko Gyabi,247,Leeds,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kasper Schmeichel,248,Leicester,GK,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Jonny Evans,249,Leicester,DEF,45,1,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.0,0.0,0.1,0,0.00,0.00,0.00,0.00,1,False
Ryan Bertrand,250,Leicester,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Marc Albrighton,251,Leicester,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Nampalys Mendy,252,Leicester,MID,45,65,0,0,0,2,0,0,0,0,0,0,0,19,11.4,3.5,0.0,1.5,1,0.00,0.03,0.03,1.24,2,False
Jannik Vestergaard,253,Leicester,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Danny Ward,254,Leicester,GK,40,90,0,0,0,3,0,0,0,0,0,3,0,14,28.0,0.0,0.0,2.8,1,0.00,0.00,0.00,1.53,2,False
Jamie Vardy,255,Leicester,FWD,95,14,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.6,6.0,0.3,0,0.20,0.00,0.20,0.08,1,False
Ricardo Barbosa Pereira,256,Leicester,DEF,45,90,0,1,0,3,0,0,0,1,0,0,0,24,29.8,38.0,4.0,7.2,1,0.07,0.28,0.35,1.53,3,False
Daniel Amartey,257,Leicester,DEF,45,65,0,0,0,2,0,0,0,0,0,0,0,8,1.8,1.9,9.0,1.3,1,0.97,0.02,0.99,1.24,1,False
Timothy Castagne,258,Leicester,DEF,45,90,0,0,0,3,0,0,0,0,0,0,0,17,13.0,14.3,12.0,3.9,1,0.04,0.01,0.05,1.53,1,False
Youri Tielemans,259,Leicester,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Ayoze Pérez,260,Leicester,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
James Maddison,261,Leicester,MID,80,89,0,0,0,3,0,0,0,0,0,0,0,16,17.2,41.7,33.0,9.2,1,0.27,0.24,0.51,1.53,2,False
Kelechi Iheanacho,262,Leicester,FWD,65,75,0,0,0,2,0,0,0,0,0,0,0,6,14.0,25.2,23.0,6.2,1,0.05,0.04,0.09,1.45,2,False
Hamza Choudhury,263,Leicester,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Harvey Barnes,264,Leicester,MID,70,24,0,0,0,1,0,0,0,0,0,0,0,7,2.2,14.3,2.0,1.9,0,0.00,0.28,0.28,0.30,1,False
Wilfred Ndidi,265,Leicester,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Kiernan Dewsbury-Hall,266,Leicester,MID,50,90,0,0,0,3,0,0,0,0,0,0,0,12,18.8,13.7,30.0,6.3,1,0.22,0.04,0.26,1.53,2,False
Çaglar Söyüncü,267,Leicester,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
James Justin,268,Leicester,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Boubakary Soumaré,269,Leicester,MID,45,24,0,0,0,1,0,0,0,0,0,0,0,6,7.2,21.6,0.0,2.9,0,0.00,0.01,0.01,0.30,1,False
Luke Thomas,270,Leicester,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Patson Daka,271,Leicester,FWD,60,65,1,0,0,2,0,0,0,0,0,0,1,28,36.6,15.8,9.0,6.1,1,0.02,0.02,0.04,1.24,7,False
Wesley Fofana,272,Chelsea,DEF,45,85,0,0,0,1,0,0,0,1,0,0,0,5,20.2,1.8,17.0,3.9,1,0.06,0.01,0.07,2.35,1,False
Lewis Brunt,273,Leicester,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
James Milner,274,Liverpool,MID,45,25,0,0,0,0,0,0,0,0,0,0,0,13,11.8,16.3,2.0,3.0,0,0.00,0.07,0.07,0.06,1,False
Jordan Henderson,275,Liverpool,MID,55,25,0,0,0,0,0,0,0,0,0,0,0,16,9.0,3.8,0.0,1.3,0,0.00,0.02,0.02,0.06,1,False
Joel Matip,276,Liverpool,DEF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Thiago Alcántara do Nascimento,277,Liverpool,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Alex Oxlade-Chamberlain,278,Liverpool,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,0,False
Roberto Firmino,279,Liverpool,FWD,80,24,0,0,0,0,0,0,0,0,0,0,0,4,5.0,6.4,0.0,1.1,0,0.00,0.06,0.06,0.06,1,False
Virgil van Dijk,280,Liverpool,DEF,65,90,0,0,0,1,0,0,0,0,0,0,0,8,21.2,13.7,32.0,6.7,1,0.38,0.04,0.42,0.86,2,False
Alisson Ramses Becker,281,Liverpool,GK,55,90,0,0,0,1,0,0,0,0,0,1,0,16,13.8,0.0,0.0,1.4,1,0.00,0.00,0.00,0.86,2,False
Fabio Henrique Tavares,282,Liverpool,MID,55,64,0,0,0,1,0,0,0,0,0,0,0,12,1.8,1.3,3.0,0.6,1,0.02,0.00,0.02,0.80,2,False
Mohamed Salah,283,Liverpool,MID,130,90,0,0,0,1,0,0,1,0,0,0,0,-4,3.6,8.4,19.0,3.1,1,0.86,0.41,1.27,0.86,0,False
Andrew Robertson,284,Liverpool,DEF,70,90,0,0,0,1,0,0,0,0,0,0,0,19,12.6,26.4,21.0,6.0,1,0.04,0.45,0.49,0.86,2,False
